              0          1           2           3         4          5           6           7  8  9
1165          0          0           0           0         0          0           0           0  1  0
1189      0.475   0.467361   0.0078125   0.0236111  0.480078   0.429861  0.00546875   0.0180556  0  0
1196          0          0           0           0         0          0           0           0  0  1
1201   0.423438   0.719444   0.0078125   0.0138889  0.429297   0.713194  0.00703125      0.0125  1  0
1212   0.529688   0.361111     0.00625   0.0111111         0          0           0           0  0  0
1228   0.591016   0.294444  0.00546875  0.00833333  0.589063   0.293056   0.0046875  0.00833333  0  1
1240   0.610547   0.183333  0.00390625  0.00833333         0          0           0           0  1  0
1264   0.666797   0.665972  0.00546875   0.0291667  0.662109   0.608333  0.00703125   0.0277778  0  1
1274   0.701953   0.802778  0.00859375   0.0138889  0.698047   0.780556   0.0101562   0.0166667  1  0
1325   0.457422   0.248611  0.00390625  0.00833333  0.458984   0.242361  0.00390625  0.00694444  0  1
1341   0.438281   0.171528   0.0046875  0.00694444  0.439063   0.171528   0.0046875  0.00694444  1  0
1361          0          0           0           0         0          0           0           0  0  1
1373          0          0           0           0  0.173438   0.713889      0.0125   0.0194444  0  0
1453   0.472656  0.0694444    0.003125  0.00833333         0          0           0           0  1  0
1465          0          0           0           0         0          0           0           0  0  1
1473   0.541797    0.65625   0.0101562   0.0208333  0.534766   0.629167  0.00859375   0.0222222  1  0
1511   0.569922   0.230556  0.00390625  0.00833333  0.569531   0.230556   0.0046875  0.00833333  1  0
1533   0.716797   0.657639  0.00859375      0.0125  0.705859   0.626389  0.00859375   0.0277778  0  1
1534   0.724609   0.661806  0.00703125      0.0125  0.716797   0.657639  0.00859375      0.0125  0  0
1580          0          0           0           0         0          0           0           0  1  0
1601   0.570312   0.315972   0.0046875  0.00972222  0.567187   0.315278     0.00625  0.00833333  0  1
1619   0.616016   0.209028  0.00390625  0.00694444  0.615234   0.206944  0.00390625  0.00833333  1  0
1654   0.366797   0.601389  0.00859375   0.0138889  0.376172   0.572222  0.00703125   0.0138889  0  1
1665   0.304297   0.658333  0.00703125   0.0138889  0.310937   0.646528     0.00625      0.0125  1  0
1676   0.482422   0.317361  0.00703125  0.00972222         0          0           0           0  0  0
1690   0.578516   0.280556  0.00546875   0.0111111  0.573047   0.279167  0.00546875  0.00833333  0  1
1699   0.604297   0.188889  0.00390625  0.00833333  0.601953   0.197222  0.00390625  0.00833333  1  0
1739   0.305859   0.717361   0.0101562   0.0152778         0          0           0           0  1  0
1747   0.350781       0.45     0.00625   0.0166667  0.348047   0.464583  0.00703125   0.0180556  0  0
1866   0.465234   0.502083  0.00703125   0.0180556         0          0           0           0  0  0
1889   0.425391      0.425  0.00859375   0.0138889  0.425391   0.419444  0.00546875   0.0138889  1  0
1896   0.582422   0.319444  0.00703125  0.00833333         0          0           0           0  0  0
1901          0          0           0           0  0.621875   0.307639     0.00625  0.00972222  0  1
1909   0.660156   0.174306   0.0046875  0.00972222  0.657031   0.186111   0.0046875  0.00833333  1  0
1935   0.367188   0.540972    0.009375   0.0208333  0.385547   0.503472   0.0117188   0.0180556  0  0
1942          0          0           0           0         0          0           0           0  1  0
1946   0.351953   0.477083   0.0132813   0.0263889  0.340625   0.497917   0.0140625   0.0263889  0  0
1970   0.571875   0.257639   0.0046875  0.00694444  0.569141   0.254861  0.00546875  0.00972222  0  1
1977   0.592188   0.189583   0.0046875  0.00694444  0.589453   0.196528  0.00390625  0.00694444  1  0
1979   0.597656   0.177778   0.0046875  0.00833333  0.596094   0.180556   0.0046875  0.00833333  0  0
2008   0.478906   0.573611     0.00625   0.0111111         0          0           0           0  0  1
2021   0.414844   0.615972   0.0078125      0.0125  0.417969   0.609722   0.0078125   0.0138889  1  0
2023   0.452344   0.523611    0.009375   0.0222222  0.427734   0.584028   0.0148437   0.0319444  0  0
2040   0.603906   0.295139     0.00625      0.0125         0          0           0           0  0  1
2056   0.638672    0.18125  0.00390625  0.00694444  0.637109    0.18125  0.00390625  0.00694444  1  0
2081          0          0           0           0         0          0           0           0  1  0
2103   0.407813      0.275   0.0046875  0.00833333  0.409375   0.273611   0.0046875  0.00833333  0  1
2106   0.404297   0.253472  0.00546875  0.00972222  0.405469   0.265972   0.0046875  0.00972222  0  0
2111   0.397656   0.219444   0.0046875  0.00833333  0.398438      0.225   0.0046875  0.00833333  0  0
2156   0.484766   0.222222  0.00546875   0.0111111  0.483594   0.215278   0.0046875   0.0111111  1  0
2160          0          0           0           0         0          0           0           0  0  1
2185   0.544531   0.549306      0.0125   0.0236111  0.546094   0.505556   0.0109375   0.0222222  0  1
2199   0.460547    0.50625   0.0132813   0.0180556   0.46875   0.493056   0.0140625   0.0222222  1  0
2203          0          0           0           0  0.534375   0.413194    0.015625   0.0208333  0  0
2219   0.667578   0.427778  0.00703125   0.0111111         0          0           0           0  0  1
2238     0.6375   0.281944   0.0078125   0.0138889  0.641016   0.276389  0.00859375   0.0138889  1  0
2264   0.346875   0.380556   0.0109375   0.0194444  0.360938     0.3375   0.0109375   0.0194444  1  0
2265   0.342969   0.392361   0.0109375   0.0180556  0.346875   0.380556   0.0109375   0.0194444  1  0
2280   0.339063   0.359028   0.0078125   0.0152778  0.341016   0.355556  0.00859375   0.0138889  0  0
2286   0.322656   0.418056   0.0109375   0.0194444  0.324609   0.411111   0.0101562   0.0194444  0  0
2288   0.315625   0.429861    0.009375   0.0180556  0.319922   0.435417   0.0101562   0.0208333  0  1
2306          0          0           0           0  0.259766   0.338889   0.0117188   0.0166667  1  0
2340          0          0           0           0         0          0           0           0  1  0
2345          0          0           0           0  0.637109   0.571528   0.0148437   0.0236111  0  1
2348        0.7    0.44375    0.009375   0.0208333  0.691016   0.526389  0.00859375   0.0222222  0  0
2428   0.554688   0.415278   0.0078125   0.0166667  0.555469   0.408333   0.0078125   0.0166667  1  0
2441   0.392188   0.317361   0.0046875  0.00694444  0.402344   0.315278     0.00625  0.00833333  0  1
2453   0.335156   0.169444   0.0046875  0.00833333  0.336328   0.170833  0.00390625  0.00833333  1  0
2467   0.335547   0.290972  0.00546875      0.0125  0.335547   0.282639  0.00546875      0.0125  0  0
2476   0.329297   0.490972  0.00703125   0.0152778  0.330078      0.475  0.00703125   0.0194444  1  0
2507   0.563281   0.268056   0.0046875  0.00833333  0.557422   0.261806  0.00390625  0.00694444  0  1
2517   0.591406    0.21875   0.0046875  0.00694444  0.589453   0.214583  0.00390625  0.00694444  1  0
2531          0          0           0           0  0.613281   0.347222     0.00625   0.0138889  1  0
2543   0.469922   0.314583  0.00546875  0.00694444  0.480469   0.313889     0.00625  0.00833333  0  1
2691   0.547656   0.419444   0.0078125   0.0166667  0.549219   0.413889   0.0078125   0.0138889  1  0
2703   0.388281   0.321528   0.0046875  0.00694444   0.39375   0.320833   0.0046875  0.00833333  0  1
2714          0          0           0           0         0          0           0           0  1  0
2734   0.407422   0.441667  0.00703125   0.0222222  0.402734   0.409722  0.00703125   0.0194444  0  0
2739          0          0           0           0         0          0           0           0  0  1
2749   0.458203   0.646528  0.00703125   0.0152778  0.453906   0.634722   0.0078125   0.0138889  1  0
2772   0.601172   0.265278  0.00390625  0.00833333  0.599609   0.264583  0.00390625  0.00694444  0  1
2782          0          0           0           0         0          0           0           0  1  0
2813          0          0           0           0         0          0           0           0  1  0
2824   0.452344   0.297222   0.0046875  0.00833333  0.455469   0.297222   0.0046875  0.00833333  0  0
2829   0.439063   0.306944   0.0046875  0.00833333         0          0           0           0  0  1
2853   0.403125        0.2   0.0046875  0.00833333  0.403516   0.197222  0.00546875  0.00833333  0  1
2854   0.401563   0.195139   0.0046875  0.00972222  0.403125        0.2   0.0046875  0.00833333  0  0
2950          0          0           0           0         0          0           0           0  1  0
2963   0.536328   0.454861  0.00859375   0.0263889         0          0           0           0  0  1
2975   0.590234   0.522917  0.00859375   0.0152778  0.583984   0.510417  0.00859375   0.0152778  1  0
2985   0.583203   0.295833  0.00546875  0.00833333  0.583203        0.3  0.00546875   0.0111111  0  0
2996   0.565625   0.278472   0.0046875  0.00694444  0.567187   0.276389   0.0046875  0.00833333  0  1
3009   0.555078   0.178472  0.00390625  0.00694444  0.555859   0.178472  0.00390625  0.00694444  1  0
3033   0.503125   0.474306     0.00625   0.0208333  0.504297   0.457639  0.00546875   0.0180556  0  0
3038   0.488672   0.658333  0.00703125       0.025  0.491406   0.615278     0.00625   0.0277778  0  1
3050   0.455859   0.658333   0.0101562   0.0277778  0.457812   0.657639   0.0078125   0.0152778  1  0
3071   0.618359   0.251389  0.00546875  0.00833333   0.54375   0.169444   0.0046875  0.00833333  0  0
3075   0.544531   0.161806   0.0046875  0.00694444  0.544531   0.161806   0.0046875  0.00694444  0  1
3098          0          0           0           0         0          0           0           0  0  1
3159   0.701563   0.658333    0.015625       0.025  0.701172   0.594444   0.0132813       0.025  0  0
3174   0.568359   0.385417   0.0164062   0.0347222  0.578125   0.417361   0.0140625   0.0291667  0  0
3183   0.465234   0.271528   0.0226563   0.0402778  0.475781   0.273611    0.021875   0.0416667  0  0
3343          0          0           0           0         0          0           0           0  1  0
3356          0          0           0           0         0          0           0           0  0  1
3502          0          0           0           0         0          0           0           0  1  0
3514   0.299219   0.532639    0.015625   0.0263889  0.329688   0.467361    0.015625   0.0347222  0  1
3704   0.507812   0.482639   0.0078125   0.0319444         0          0           0           0  0  1
3755   0.602734   0.780556  0.00859375   0.0138889         0          0           0           0  0  1
3769   0.588281   0.679861   0.0078125   0.0152778  0.589063   0.679167   0.0078125   0.0138889  0  1
3781   0.579297   0.613194  0.00703125      0.0125  0.579687   0.614583   0.0078125      0.0125  0  1
3790   0.573438   0.566667     0.00625   0.0111111  0.574219   0.567361     0.00625  0.00972222  0  0
3931          0          0           0           0         0          0           0           0  1  0
3942   0.278125   0.539583      0.0125      0.0125         0          0           0           0  0  1
3962          0          0           0           0         0          0           0           0  1  0
4386   0.561328   0.360417  0.00546875  0.00972222  0.564453   0.358333  0.00546875  0.00833333  0  0
4394   0.544922   0.418056  0.00859375   0.0166667         0          0           0           0  1  0
4409          0          0           0           0  0.376563   0.302083     0.00625  0.00972222  0  1
4416          0          0           0           0  0.333594   0.200694   0.0046875  0.00972222  1  0
4448   0.406641   0.650694  0.00546875   0.0236111  0.403906   0.608333     0.00625       0.025  0  1
4456   0.420312   0.668056     0.00625   0.0111111   0.41875   0.666667     0.00625   0.0111111  1  0
4480   0.577344   0.316667   0.0046875  0.00833333     0.575   0.313889   0.0046875  0.00833333  0  0
4482   0.582812   0.324306   0.0046875  0.00972222  0.580078   0.322222  0.00546875  0.00833333  0  1
4496    0.60625   0.193056   0.0046875  0.00833333  0.604297   0.196528  0.00390625  0.00694444  0  0
4501   0.611719     0.1875   0.0046875  0.00555556  0.611328   0.186806  0.00390625  0.00694444  1  0
4528       0.45   0.540972     0.00625   0.0236111  0.460938   0.500694   0.0078125   0.0180556  0  1
4542   0.344531   0.618056   0.0109375   0.0166667  0.350391   0.610417  0.00859375   0.0152778  1  0
4559   0.403516   0.302083  0.00546875  0.00972222  0.401953   0.302083  0.00546875  0.00972222  0  1
4563          0          0           0           0  0.405469   0.250694     0.00625      0.0125  0  0
4575          0          0           0           0         0          0           0           0  1  0
4606   0.518359   0.445139  0.00703125   0.0180556         0          0           0           0  0  0
4608          0          0           0           0         0          0           0           0  0  1
4620   0.570312   0.511111     0.00625   0.0111111  0.567969    0.50625     0.00625      0.0125  1  0
4638   0.405078   0.263194  0.00546875  0.00972222  0.409375   0.263889     0.00625  0.00833333  0  0
4642   0.379297   0.274306  0.00546875  0.00972222  0.387109   0.269444  0.00546875  0.00833333  0  1
4654   0.333594   0.171528   0.0046875  0.00694444  0.337109      0.175  0.00390625  0.00833333  1  0
4677          0          0           0           0         0          0           0           0  1  0
4678   0.534766   0.351389  0.00546875   0.0111111         0          0           0           0  0  0
4727   0.396484   0.522917   0.0148437   0.0263889  0.417969   0.490278   0.0171875   0.0361111  1  0
4745   0.395703   0.429861  0.00703125      0.0125       0.4   0.420833    0.009375   0.0138889  0  1
4760   0.358984    0.24375   0.0101562   0.0180556         0          0           0           0  1  0
4788   0.457812   0.342361   0.0109375   0.0180556   0.45625   0.327083   0.0109375   0.0180556  0  0
4797          0          0           0           0         0          0           0           0  0  1
4810   0.553516   0.624306   0.0164062   0.0263889  0.547266     0.6125   0.0164062   0.0277778  1  0
4812          0          0           0           0  0.554297   0.626389   0.0148437   0.0277778  0  0
4832   0.132812   0.451389    0.009375   0.0194444  0.139062   0.422222    0.009375   0.0194444  0  1
4846   0.166016   0.209028   0.0117188   0.0208333         0          0           0           0  1  0
4867   0.630469   0.479861   0.0109375   0.0152778  0.628516   0.448611   0.0117188   0.0194444  1  0
4883          0          0           0           0         0          0           0           0  0  1
4986    0.41875   0.411806   0.0078125   0.0152778         0          0           0           0  0  0
4987   0.420703   0.479167   0.0132813   0.0222222   0.41875   0.411806   0.0078125   0.0152778  1  0
4992   0.474219   0.338889   0.0078125   0.0111111  0.464453   0.351389  0.00703125   0.0111111  0  0
4999          0          0           0           0         0          0           0           0  0  1
5018          0          0           0           0         0          0           0           0  1  0
5043    0.39375   0.570139     0.00625   0.0152778         0          0           0           0  0  0
5046   0.369141   0.652778   0.0101562   0.0222222  0.374219   0.633333    0.009375   0.0222222  0  1
5063          0          0           0           0  0.239063    0.83125    0.009375   0.0180556  0  0
5066          0          0           0           0         0          0           0           0  0  1
5133          0          0           0           0  0.404297   0.789583   0.0242187   0.0486111  0  0
5192   0.552734   0.418056  0.00703125   0.0138889         0          0           0           0  1  0
5205          0          0           0           0         0          0           0           0  0  1
5214   0.332812   0.174306   0.0046875  0.00694444  0.339063     0.1875   0.0046875  0.00833333  1  0
5238   0.305078   0.610417  0.00703125   0.0319444  0.309766   0.545833   0.0101562       0.025  0  1
5299          0          0           0           0         0          0           0           0  0  1
5405   0.566797   0.386111  0.00546875  0.00833333  0.567969   0.383333     0.00625  0.00833333  0  0
5410   0.553906   0.428472   0.0109375   0.0180556  0.557031   0.420139   0.0078125   0.0180556  1  0
5422   0.490625   0.305556     0.00625   0.0111111         0          0           0           0  0  1
5546          0          0           0           0         0          0           0           0  1  0
5560   0.520703   0.459028  0.00703125   0.0291667         0          0           0           0  0  1
5570   0.548047   0.520833  0.00703125   0.0111111  0.544922   0.513194  0.00703125      0.0125  1  0
5598   0.549219   0.288889   0.0046875  0.00833333  0.549609   0.286111  0.00546875  0.00833333  0  1
5600       0.55      0.275   0.0046875  0.00833333      0.55    0.28125   0.0046875  0.00972222  0  0
5608          0          0           0           0         0          0           0           0  1  0
5617   0.484766   0.277778  0.00703125   0.0111111  0.494141   0.263194  0.00546875  0.00972222  0  0
5624          0          0           0           0         0          0           0           0  1  0
5648   0.572266   0.315278  0.00546875  0.00833333  0.569141   0.313889  0.00546875  0.00833333  0  1
5651   0.582031   0.297222   0.0046875  0.00833333  0.579687   0.301389   0.0046875  0.00833333  0  0
5660   0.605859   0.260417  0.00390625  0.00694444  0.604297   0.260417  0.00390625  0.00694444  1  0
5675          0          0           0           0         0          0           0           0  1  0
5688          0          0           0           0  0.427344   0.343056     0.00625   0.0111111  0  1
5711   0.389062   0.281944   0.0046875  0.00833333  0.389844   0.280556   0.0046875  0.00833333  0  1
5732   0.489453   0.647222   0.0335938   0.0583333  0.559375    0.56875   0.0390625   0.0652778  1  0
5735   0.741406    0.50625    0.034375   0.0430556         0          0           0           0  0  0
5753   0.871875   0.513889   0.0203125   0.0277778  0.886328   0.508333   0.0195312   0.0277778  1  0
5788   0.257422   0.660417   0.0226563   0.0430556  0.249219   0.650694    0.021875   0.0402778  0  1
5806   0.399609   0.577083   0.0242187   0.0430556  0.414062   0.561111       0.025   0.0416667  1  0
5824   0.716016   0.444444   0.0132813   0.0194444  0.719922   0.442361   0.0117188   0.0180556  1  0
5896          0          0           0           0         0          0           0           0  1  0
6055   0.545703  0.0736111  0.00390625  0.00833333  0.545313  0.0694444   0.0046875  0.00833333  1  0
6070   0.382031   0.461111    0.009375   0.0305556  0.389453   0.435417  0.00859375   0.0236111  0  1
6083          0          0           0           0  0.237891   0.527778   0.0101562   0.0111111  1  0
6104   0.564844   0.309722   0.0046875  0.00833333         0          0           0           0  0  1
6117   0.612891   0.203472  0.00390625  0.00694444  0.610547    0.20625  0.00390625  0.00694444  1  0
6121   0.616406   0.206944   0.0046875  0.00833333  0.616016    0.20625  0.00390625  0.00694444  0  0
6148   0.669141   0.501389  0.00703125   0.0138889  0.666797   0.490278  0.00703125   0.0166667  0  1
6169          0          0           0           0         0          0           0           0  1  0
6178   0.628906   0.472222   0.0109375   0.0138889  0.638672   0.479861   0.0117188   0.0152778  0  0
6197   0.426953   0.431944  0.00546875   0.0111111  0.435937    0.43125     0.00625  0.00972222  0  1
6221   0.233203      0.375   0.0335938   0.0666667  0.233203   0.374306   0.0335938   0.0652778  1  0
6251   0.564453   0.417361   0.0195312      0.0375  0.558594   0.452083   0.0203125   0.0402778  0  1
6256   0.560547   0.304861   0.0195312   0.0402778  0.565625    0.30625   0.0171875      0.0375  0  0
6264   0.441016   0.522222   0.0242187   0.0472222  0.453516   0.504167   0.0257812   0.0444444  1  0
6301      0.175   0.722222    0.015625       0.025  0.169531   0.704861    0.015625   0.0236111  0  1
6325   0.160938   0.715972   0.0203125   0.0347222         0          0           0           0  1  0
6403          0          0           0           0  0.474609  0.0743056  0.00390625  0.00972222  1  0
6415   0.557813   0.449306    0.009375   0.0319444  0.551172      0.425   0.0101562       0.025  0  1
6427   0.659766   0.557639   0.0101562   0.0152778  0.653516   0.550694  0.00859375      0.0125  1  0
6428   0.663672   0.540972  0.00859375   0.0263889  0.659766   0.557639   0.0101562   0.0152778  0  0
6449   0.574219   0.293056   0.0046875  0.00833333  0.576953   0.290972  0.00546875  0.00694444  0  1
6459          0          0           0           0         0          0           0           0  1  0
6469   0.482031   0.280556   0.0078125   0.0111111    0.4875   0.272222     0.00625   0.0111111  0  0
6479   0.374219   0.529167    0.009375   0.0194444  0.389453   0.488889   0.0101562   0.0194444  0  0
6483   0.319141   0.699306   0.0101562   0.0236111  0.335547   0.648611   0.0101562   0.0305556  0  1
6488   0.265625   0.722917      0.0125   0.0180556  0.279687   0.715278   0.0109375   0.0138889  1  0
6517          0          0           0           0         0          0           0           0  1  0
6540   0.284766   0.623611   0.0117188   0.0166667  0.300391   0.589583   0.0101562   0.0236111  0  1
6551     0.1625   0.729861   0.0109375   0.0152778  0.176563   0.710417   0.0140625   0.0180556  1  0
6613          0          0           0           0         0          0           0           0  1  0
6625          0          0           0           0      0.55   0.504167   0.0078125   0.0305556  0  1
6681   0.268359   0.648611   0.0164062   0.0388889  0.260156   0.650694     0.01875      0.0375  0  1
6684   0.290234   0.573611   0.0164062   0.0333333  0.285937   0.586111   0.0171875   0.0333333  0  0
6685   0.299219   0.563889   0.0171875   0.0305556  0.290234   0.573611   0.0164062   0.0333333  0  0
6686   0.303906   0.563194   0.0140625   0.0263889  0.299219   0.563889   0.0171875   0.0305556  1  0
6716          0          0           0           0         0          0           0           0  1  0
6732   0.460938   0.372222    0.009375   0.0138889  0.474609   0.364583  0.00859375      0.0125  0  0
6740          0          0           0           0  0.310547     0.5125   0.0132813   0.0222222  0  1
6751  0.0832031   0.563194   0.0195312   0.0319444         0          0           0           0  1  0
6817          0          0           0           0         0          0           0           0  1  0
6828   0.632812   0.629167    0.009375   0.0166667  0.625781   0.580556   0.0078125   0.0166667  0  1
6890          0          0           0           0         0          0           0           0  1  0
6900   0.518359    0.33125  0.00703125  0.00972222  0.515234   0.334028  0.00703125  0.00972222  0  0
6902   0.522656   0.329861     0.00625  0.00972222  0.521094   0.329861     0.00625  0.00972222  0  1
6913   0.528125   0.175694   0.0046875  0.00972222         0          0           0           0  1  0
6935   0.505078   0.586806  0.00546875   0.0152778  0.505859   0.573611  0.00390625   0.0166667  0  1
6943   0.491406   0.665278   0.0078125   0.0166667  0.493359   0.647917  0.00703125   0.0152778  1  0
6946          0          0           0           0  0.482812   0.590278     0.00625   0.0305556  0  0
6962          0          0           0           0  0.428516   0.315278  0.00546875  0.00833333  0  1
6977   0.407031   0.190972   0.0046875  0.00694444  0.408203   0.192361  0.00390625  0.00694444  1  0
7001   0.277734   0.628472  0.00859375   0.0263889  0.279297   0.606944   0.0101562   0.0333333  0  1
7036   0.594531   0.464583    0.028125   0.0402778  0.564453   0.429861   0.0195312   0.0319444  1  0
7065   0.340625   0.769444   0.0171875   0.0277778  0.334375   0.752083    0.015625   0.0291667  0  1
7086   0.301562   0.478472   0.0234375   0.0486111  0.302344      0.475   0.0234375   0.0444444  0  0
7087   0.301562   0.493056   0.0234375   0.0444444  0.301562   0.478472   0.0234375   0.0486111  1  0
7119   0.218359   0.359722   0.0195312   0.0361111  0.221484   0.354861   0.0195312   0.0347222  0  0
7154   0.433203   0.570833   0.0304688   0.0666667  0.423438     0.5625   0.0296875   0.0666667  0  1
7168   0.473828   0.275694   0.0367187   0.0763889  0.471875   0.290972   0.0359375   0.0736111  0  0
7213    0.59375   0.449306   0.0078125   0.0180556  0.595312   0.457639   0.0078125   0.0180556  0  0
7233   0.542969   0.420139   0.0078125   0.0152778         0          0           0           0  1  0
7239   0.441016   0.329861  0.00859375  0.00972222      0.45   0.336806   0.0078125  0.00972222  0  0
7246          0          0           0           0  0.374609   0.313889  0.00546875  0.00833333  0  1
7256          0          0           0           0         0          0           0           0  1  0
7277          0          0           0           0  0.360547   0.464583  0.00703125   0.0208333  1  0
7304   0.592578   0.291667  0.00546875  0.00833333  0.585547   0.288889  0.00546875  0.00833333  0  1
7323          0          0           0           0         0          0           0           0  0  1
7338   0.747656   0.508333   0.0265625   0.0361111  0.732422   0.510417   0.0242187   0.0319444  1  0
7388   0.685156      0.525   0.0140625   0.0222222  0.684766   0.525694   0.0132813   0.0208333  1  0
7468   0.505469   0.623611   0.0203125   0.0388889  0.504297   0.619444   0.0210938   0.0416667  0  1
7503   0.592188   0.422222   0.0078125   0.0166667  0.594922   0.438194  0.00859375   0.0180556  0  0
7522   0.553906    0.40625   0.0078125      0.0125  0.554688   0.400694     0.00625      0.0125  1  0
7534   0.373437   0.319444   0.0046875  0.00833333  0.379687   0.319444     0.00625  0.00833333  0  1
7545          0          0           0           0         0          0           0           0  1  0
7560   0.383984   0.327778  0.00546875   0.0111111  0.377344   0.313194     0.00625      0.0125  0  1
7581   0.473047   0.323611  0.00546875   0.0111111  0.468359   0.313194  0.00546875  0.00694444  0  0
7615          0          0           0           0         0          0           0           0  1  0
7647   0.598437   0.244444   0.0046875  0.00833333  0.598437   0.238194   0.0046875  0.00694444  0  1
7651   0.599219   0.216667   0.0046875  0.00833333  0.599219   0.219444   0.0046875  0.00833333  0  0
7658   0.594922    0.18125  0.00390625  0.00694444  0.598828   0.185417  0.00390625  0.00972222  1  0
7677          0          0           0           0  0.435547   0.307639  0.00703125      0.0125  1  0
7685   0.512109   0.290278  0.00546875  0.00833333         0          0           0           0  0  0
7695   0.600781   0.300694   0.0046875  0.00694444  0.591016   0.295833  0.00546875  0.00833333  0  1
7714   0.689844   0.238889   0.0046875  0.00833333         0          0           0           0  1  0
